"Location","Population (in thousands) total 2006","Population annual growth rate (%) 1990","Population annual growth rate (%) 1991","Population annual growth rate (%) 1992","Population annual growth rate (%) 1993","Population annual growth rate (%) 1994","Population annual growth rate (%) 1995","Population annual growth rate (%) 1996","Population annual growth rate (%) 1997","Population annual growth rate (%) 1998","Population annual growth rate (%) 1999","Population annual growth rate (%) 2000","Population annual growth rate (%) 2001","Population annual growth rate (%) 2002","Population annual growth rate (%) 2003","Population annual growth rate (%) 2004","Population annual growth rate (%) 2005","Population annual growth rate (%) 2006","Population in urban areas (%) 1990","Population in urban areas (%) 2000","Population in urban areas (%) 2006","Population living below the poverty line (% living on < US$1 per day), 2000","Population living below the poverty line (% living on < US$1 per day), 2001","Population living below the poverty line (% living on < US$1 per day), 2002","Population living below the poverty line (% living on < US$1 per day), 2003","Population living below the poverty line (% living on < US$1 per day), 2004","Population median age (years), 2006","Population proportion over 60 (%) 2006","Population proportion under 15 (%) 2006"
"Algeria","33351.0","2.5","2.5","2.4","2.3","2.1","1.9","1.7","1.6","1.5","1.4","1.4","1.5","1.5","1.5","1.5","1.5","1.5","52.0","60.0","64.0","","","","","","24.0","7.0","29.0"
"Angola","16557.0","2.7","3.0","3.2","3.3","3.2","2.9","2.6","2.4","2.3","2.4","2.6","2.7","2.9","3.0","3.0","2.9","2.8","37.0","50.0","54.0","","","","","","17.0","4.0","46.0"
"Benin","8760.0","3.5","3.6","3.7","3.7","3.6","3.4","3.2","3.0","2.9","3.0","3.1","3.2","3.2","3.3","3.2","3.2","3.1","34.0","38.0","40.0","","","","30.9","","18.0","4.0","44.0"
"Botswana","1858.0","3.0","2.9","2.8","2.8","2.6","2.5","2.3","2.2","2.0","1.8","1.6","1.4","1.2","1.1","1.1","1.1","1.2","42.0","53.0","58.0","","","","","","21.0","5.0","35.0"
"Burkina Faso","14359.0","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.8","2.9","2.9","3.0","3.1","3.2","3.2","3.2","3.1","3.0","14.0","17.0","19.0","","","","27.2","","17.0","4.0","46.0"
"Burundi","8173.0","2.6","2.3","2.1","1.8","1.6","1.4","1.2","1.0","1.1","1.4","2.0","2.5","3.0","3.4","3.7","3.8","3.9","6.0","9.0","10.0","","","","","","17.0","4.0","45.0"
"Cameroon","18175.0","3.0","2.9","2.9","2.8","2.7","2.6","2.5","2.4","2.4","2.4","2.4","2.4","2.4","2.3","2.3","2.2","2.1","41.0","50.0","56.0","","17.1","","","","19.0","5.0","41.0"
"Cape Verde","519.0","2.3","2.4","2.4","2.5","2.5","2.4","2.4","2.3","2.3","2.3","2.3","2.4","2.4","2.4","2.3","2.3","2.3","44.0","53.0","58.0","","","","","","20.0","5.0","39.0"
"Central African Republic","4265.0","2.5","2.7","2.8","2.8","2.8","2.7","2.5","2.4","2.3","2.1","2.0","1.8","1.6","1.5","1.6","1.6","1.7","37.0","38.0","38.0","","","","","","18.0","6.0","42.0"
"Chad","10468.0","3.2","3.1","3.1","3.1","3.1","3.2","3.2","3.3","3.3","3.4","3.6","3.7","3.8","3.7","3.6","3.4","3.1","21.0","23.0","26.0","","","","","","17.0","5.0","46.0"
"Comoros","818.0","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.7","2.7","2.6","2.6","2.6","2.5","28.0","34.0","38.0","","","","","","19.0","4.0","42.0"
"Congo","3689.0","2.9","2.9","2.9","2.9","2.8","2.8","2.8","2.8","2.8","2.7","2.6","2.5","2.5","2.4","2.3","2.2","2.2","54.0","58.0","61.0","","","","","","19.0","5.0","42.0"
"Cote d'Ivoire","18914.0","3.6","3.5","3.3","3.2","3.1","2.9","2.9","2.8","2.6","2.4","2.2","1.9","1.7","1.6","1.6","1.7","1.8","40.0","43.0","45.0","","","14.8","","","19.0","5.0","41.0"
"Democratic Republic of the Congo","60644.0","3.4","3.7","3.8","3.8","3.5","3.0","2.5","2.2","2.0","2.1","2.3","2.6","2.8","3.0","3.1","3.2","3.2","28.0","30.0","33.0","","","","","","16.0","4.0","47.0"
"Equatorial Guinea","496.0","1.7","2.1","2.3","2.4","2.5","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.3","2.3","2.3","2.3","2.4","35.0","39.0","39.0","","","","","","19.0","6.0","42.0"
"Eritrea","4692.0","1.5","0.7","0.1","-0.1","0.2","0.9","1.6","2.3","2.8","3.3","3.6","4.0","4.2","4.3","4.2","3.9","3.6","16.0","18.0","20.0","","","","","","18.0","4.0","43.0"
"Ethiopia","81021.0","3.3","3.4","3.4","3.3","3.2","3.1","3.0","2.9","2.8","2.7","2.7","2.6","2.6","2.6","2.6","2.6","2.5","13.0","15.0","16.0","23.0","","","","","18.0","5.0","44.0"
"Gabon","1311.0","3.0","3.0","2.9","2.8","2.7","2.6","2.5","2.4","2.3","2.1","2.0","1.9","1.8","1.7","1.7","1.6","1.5","69.0","80.0","84.0","","","","","","22.0","7.0","35.0"
"Gambia","1663.0","3.8","3.8","3.7","3.7","3.7","3.7","3.7","3.6","3.6","3.5","3.4","3.3","3.2","3.1","3.0","2.9","2.8","38.0","49.0","55.0","","","","","","20.0","6.0","41.0"
"Ghana","23008.0","2.8","2.8","2.8","2.8","2.7","2.6","2.5","2.4","2.4","2.3","2.3","2.3","2.3","2.3","2.2","2.1","2.1","36.0","44.0","49.0","","","","","","20.0","6.0","39.0"
"Guinea","9181.0","3.6","3.9","4.1","4.1","3.8","3.4","2.9","2.4","2.1","2.0","1.9","1.9","1.8","1.8","1.9","1.9","2.0","28.0","31.0","33.0","","","","","","18.0","5.0","43.0"
"Guinea-Bissau","1646.0","2.9","3.1","3.2","3.3","3.2","3.1","2.9","2.8","2.7","2.8","2.9","3.0","3.1","3.1","3.1","3.0","3.0","28.0","30.0","30.0","","","","","","16.0","5.0","48.0"
"Kenya","36553.0","3.4","3.3","3.2","3.1","3.0","2.9","2.8","2.7","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","18.0","20.0","21.0","","","","","","18.0","4.0","43.0"
"Lesotho","1995.0","1.5","1.4","1.4","1.4","1.5","1.6","1.8","1.9","1.9","1.8","1.6","1.3","1.1","0.9","0.8","0.8","0.7","17.0","18.0","19.0","","","","","","19.0","7.0","40.0"
"Liberia","3579.0","-1.1","-1.4","-1.7","-1.0","0.9","3.5","6.3","8.2","8.6","7.4","5.5","3.5","2.1","1.4","1.7","2.7","3.9","45.0","54.0","59.0","","","","","","16.0","4.0","47.0"
"Madagascar","19159.0","2.9","2.9","2.9","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.9","2.9","2.9","2.8","2.8","2.8","2.7","24.0","26.0","27.0","","61.0","","","","18.0","5.0","44.0"
"Malawi","13571.0","3.8","2.4","1.3","0.7","0.8","1.5","2.2","2.8","3.1","3.1","2.9","2.7","2.6","2.5","2.5","2.5","2.6","12.0","15.0","18.0","","","","","20.8","16.0","5.0","47.0"
"Mali","11968.0","2.5","2.5","2.6","2.6","2.6","2.6","2.6","2.7","2.7","2.7","2.8","2.9","3.0","3.0","3.0","3.0","3.0","23.0","28.0","31.0","","36.1","","","","16.0","5.0","48.0"
"Mauritania","3044.0","2.6","2.6","2.7","2.7","2.7","2.8","2.8","2.8","2.8","2.9","2.9","2.9","2.9","2.9","2.9","2.8","2.7","40.0","40.0","41.0","25.9","","","","","20.0","5.0","40.0"
"Mauritius","1252.0","0.9","1.1","1.2","1.3","1.3","1.2","1.2","1.1","1.0","1.0","1.0","1.0","0.9","0.9","0.9","0.9","0.8","44.0","43.0","42.0","","","","","","31.0","10.0","24.0"
"Mozambique","20971.0","1.3","2.4","3.2","3.7","3.7","3.4","3.0","2.7","2.5","2.5","2.5","2.5","2.5","2.5","2.4","2.2","2.1","21.0","31.0","35.0","","","36.2","","","18.0","5.0","44.0"
"Namibia","2047.0","4.2","3.7","3.3","3.0","2.9","2.8","2.8","2.7","2.6","2.4","2.1","1.8","1.5","1.3","1.3","1.3","1.3","28.0","32.0","36.0","","","","","","20.0","5.0","38.0"
"Niger","13737.0","3.2","3.3","3.4","3.4","3.5","3.5","3.6","3.6","3.6","3.6","3.6","3.6","3.5","3.5","3.5","3.5","3.5","15.0","16.0","17.0","","","","","","16.0","5.0","48.0"
"Nigeria","144720.0","2.9","2.9","2.9","2.9","2.8","2.8","2.8","2.7","2.7","2.7","2.6","2.6","2.5","2.5","2.5","2.4","2.4","35.0","44.0","49.0","","","","70.8","","18.0","5.0","44.0"
"Rwanda","9464.0","-0.1","-3.4","-6.5","-7.9","-6.2","-1.7","3.9","8.1","9.8","8.8","6.5","4.2","2.7","1.7","1.6","2.0","2.5","5.0","14.0","20.0","60.3","","","","","18.0","4.0","43.0"
"Sao Tome and Principe","155.0","2.2","2.1","2.0","1.9","1.9","1.9","1.9","1.8","1.8","1.8","1.8","1.8","1.7","1.7","1.7","1.7","1.6","44.0","53.0","59.0","","","","","","19.0","6.0","41.0"
"Senegal","12072.0","2.9","2.8","2.8","2.7","2.7","2.7","2.7","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.6","2.5","39.0","41.0","42.0","","17.0","","","","19.0","6.0","42.0"
"Seychelles","86.0","1.4","1.1","1.0","0.9","0.9","1.1","1.3","1.4","1.5","1.4","1.4","1.3","1.2","1.1","1.0","0.8","0.7","49.0","50.0","51.0","","","","","","","10.0","24.0"
"Sierra Leone","5743.0","1.7","0.9","0.3","-0.1","0.0","0.3","0.7","1.1","1.6","2.3","3.1","3.9","4.6","4.7","4.3","3.6","2.8","30.0","37.0","41.0","","","","","","18.0","5.0","43.0"
"South Africa","48282.0","2.3","2.5","2.6","2.7","2.5","2.4","2.1","1.9","1.8","1.6","1.5","1.4","1.2","1.1","1.0","0.8","0.7","52.0","57.0","60.0","10.7","","","","","24.0","7.0","32.0"
"Swaziland","1134.0","3.2","2.6","2.1","1.9","1.8","1.9","2.0","2.1","2.1","1.9","1.7","1.5","1.4","1.2","1.1","0.9","0.8","23.0","23.0","24.0","","","","","","19.0","5.0","39.0"
"Togo","6410.0","2.9","2.6","2.4","2.4","2.6","3.0","3.4","3.7","3.8","3.7","3.4","3.2","3.0","2.8","2.7","2.7","2.7","30.0","37.0","41.0","","","","","","18.0","5.0","43.0"
"Uganda","29899.0","3.7","3.7","3.6","3.5","3.4","3.3","3.1","3.0","3.0","3.0","3.0","3.1","3.2","3.2","3.2","3.2","3.2","11.0","12.0","13.0","","","","","","15.0","4.0","49.0"
"United Republic of Tanzania","39459.0","3.2","3.3","3.3","3.3","3.1","2.9","2.7","2.5","2.4","2.4","2.4","2.5","2.6","2.6","2.6","2.6","2.5","19.0","22.0","25.0","57.8","","","","","18.0","5.0","44.0"
"Zambia","11696.0","2.9","2.8","2.7","2.6","2.6","2.5","2.5","2.5","2.5","2.4","2.2","2.0","1.9","1.8","1.8","1.8","1.9","39.0","35.0","35.0","","","","","63.8","17.0","5.0","46.0"
"Zimbabwe","13228.0","3.0","2.8","2.5","2.3","2.1","1.9","1.8","1.6","1.4","1.2","1.1","0.9","0.7","0.6","0.6","0.7","0.8","29.0","34.0","36.0","","","","","","19.0","5.0","39.0"
"Antigua and Barbuda","84.0","-0.7","0.5","1.5","2.2","2.5","2.6","2.6","2.6","2.5","2.4","2.2","1.9","1.7","1.5","1.4","1.3","1.3","35.0","36.0","37.0","","","","","","","11.0","28.0"
"Argentina","39134.0","1.4","1.4","1.4","1.3","1.3","1.3","1.2","1.2","1.2","1.1","1.1","1.0","1.0","1.0","1.0","1.0","1.0","87.0","89.0","90.0","","","","","6.6","29.0","14.0","26.0"
"Bahamas","327.0","1.8","1.9","1.9","1.9","1.9","1.8","1.7","1.6","1.6","1.5","1.4","1.4","1.3","1.3","1.2","1.2","1.2","84.0","89.0","91.0","","","","","","28.0","10.0","27.0"
